YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1965,0,11,0,24,0,25,43,186,95,59,422,285,1149,0,0,0,0,0,0,0,0,0,0,0,0
1966,1,0,0,76,5,90,153,239,203,310,492,150,1720,0,0,0,0,0,0,0,0,0,0,0,0
1967,30,0,97,0,52,97,106,223,79,137,122,372,1314,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,68,0,80,22,14,151,131,140,185,792,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,15,49,117,119,10,656,420,177,1564,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,19,0,5,66,86,495,145,168,171,443,7,1604,0,0,0,0,0,0,0,0,0,0,0,0
1971,14,0,49,26,45,31,156,44,101,497,266,110,1339,0,0,0,0,0,0,0,0,0,0,0,0
1972,34,0,0,0,65,127,51,58,111,506,156,377,1485,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,9,29,73,194,155,261,66,243,1029,0,0,0,0,0,0,0,0,0,0,0,0
1974,8,0,0,0,26,119,112,138,253,109,217,1,983,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,7,48,158,295,231,300,468,1,1508,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,2,5,109,177,197,9,263,679,7,1449,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,4,16,75,27,135,94,476,405,7,1239,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,9,0,17,1,38,145,95,213,98,268,504,1389,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,91,30,71,59,133,124,554,78,1139,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,12,141,181,18,57,540,172,1121,0,0,0,0,0,0,0,0,0,0,0,0
1981,16,0,17,0,43,38,149,120,135,292,108,89,1006,0,0,0,0,0,0,0,0,0,0,0,0
1982,2,0,0,10,23,81,73,172,79,172,238,9,859,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,18,109,362,329,227,51,308,1404,0,0,0,0,0,0,0,0,0,0,0,0
1984,18,274,0,2,0,34,148,33,232,103,456,117,1417,0,0,0,0,0,0,0,0,0,0,0,0
1985,51,0,0,3,0,59,161,62,149,115,465,44,1109,0,0,0,0,0,0,0,0,0,0,0,0
1986,203,61,0,0,25,42,51,47,48,238,128,61,904,0,0,0,0,0,0,0,0,0,0,0,0
1987,4,0,20,14,0,33,33,106,70,178,197,230,886,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,1,0,17,18,10,103,209,126,70,356,153,1063,0,0,0,0,0,0,0,0,0,0,0,0
1989,11,0,0,0,9,55,134,22,115,79,343,124,891,0,0,0,0,0,0,0,0,0,0,0,0
1990,9,6,7,7,307,54,74,65,171,377,307,50,1434,0,0,0,0,0,0,0,0,0,0,0,0
1991,8,0,0,5,0,234,75,107,118,284,594,1,1426,0,0,0,0,0,0,0,0,0,1,1,0
1992,6,0,0,29,58,0,46,86,103,96,305,119,848,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,2,0,53,50,84,215,116,277,342,206,1345,0,0,0,0,0,0,0,0,0,0,0,0
1994,2,15,0,0,28,17,93,106,58,335,406,222,1282,0,0,0,0,0,0,0,0,0,0,0,0
1995,84,0,13,0,250,9,107,234,200,347,321,1,1566,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,59,8,635,34,113,189,394,309,382,2123,0,0,0,0,0,0,0,0,0,0,0,0
1997,25,0,0,10,22,106,57,71,300,250,948,380,2169,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,31,5,57,134,147,108,227,401,224,1334,0,0,0,0,0,0,0,0,0,0,0,0
1999,2,0,0,11,7,9,11,45,39,232,216,52,624,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,244,0,4,40,76,72,162,57,218,96,92,1061,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,3,155,18,49,82,80,135,372,242,264,1400,0,0,0,0,0,0,0,0,0,0,0,0
2002,56,0,0,0,61,42,95,110,159,279,307,20,1129,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,5,5,6,26,141,139,103,231,98,56,810,0,0,0,0,0,0,0,0,0,0,0,0
2004,30,0,0,7,229,50,51,37,191,275,297,5,1171,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,9,101,32,52,84,119,207,590,514,501,2208,0,0,0,0,0,0,0,0,0,0,1,1
2006,0,0,28,31,22,139,55,113,172,420,224,36,1240,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,6,0,12,19,68,245,271,175,265,118,270,1449,0,0,0,0,0,0,0,0,0,0,0,0
2008,85,6,189,0,28,128,89,136,121,327,530,16,1655,0,0,0,0,0,0,0,0,0,0,0,0
2009,8,0,1,0,27,33,48,146,139,86,450,181,1120,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,0,0,0,160,106,269,296,160,147,180,242,1561,0,0,0,0,0,0,0,0,0,1,0,1
2011,2,58,0,35,24,60,85,249,147,167,394,96,1316,0,0,0,0,0,0,0,0,0,0,0,1
2012,10.2,0,0.2,3.5,11.1,31.8,119.6,60.9,146.3,320.3,103.9,174,981.8,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,44.2,22.7,3.5,1.4,71.7,145.9,170.7,241.8,215.7,119.8,27.6,1064.9,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0.1,0,0,17.5,85.2,101.3,121.9,136.1,245,191.5,127.3,1025.8,0,0,0,0,0,0,0,0,0,0,0,0
2015,1.4,0,0.5,54.4,24.5,57,163.2,172.7,88.3,178.2,995.6,419.3,2155.2,0,0,0,0,0,0,0,0,0,1,0,1
2016,0.3,0,0,0,186.8,133.9,36,14.4,249.2,7,34.9,210.9,873.5,0,0,0,0,0,0,0,0,0,0,0,1
2017,3.9,0,0,0,32,81.3,84.8,266.7,109.3,330.3,417.7,62,1388.1,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0.8,5.3,0,1.3,35,63.3,165.7,134,134.7,248.7,91.3,880.1,0,0,0,0,0,0,0,0,0,0,0,1
2019,0,1.3,0,3.3,9,16.7,107,177.7,327,367.7,84.7,191,1285.3,0,0,0,0,0,0,0,0,0,0,0,0